,NAME_0,Year,EventRoot5,EventRoot6,EventRoot7,EventRoot10,EventRoot12,EventRoot13,EventRoot14,EventRoot19,EventRoot20,CurrentYear,NextYear,AvgTone,GoldsteinScale,ISO
Angola2020,Angola,2020,790,301,405,98,225,108,83,335,1,1.0,1.0,-2.2608827804136236,0.6268426375558013,AGO
Angola2021,Angola,2021,583,161,259,57,130,63,54,231,1,1.0,0.0,-1.9962630510601411,0.6171831917480955,AGO
Angola2022,Angola,2022,537,183,193,43,183,39,78,250,0,0.0,1.0,-2.10401030179246,0.630709431553949,AGO
Burundi2021,Burundi,2021,234,55,124,29,51,39,14,141,1,1.0,1.0,-1.8418489140076488,0.9230251273534381,BDI
Burundi2022,Burundi,2022,146,51,64,20,31,16,13,120,1,1.0,1.0,-1.7024767349126764,0.9543810121906193,BDI
Burundi2020,Burundi,2020,293,108,133,92,192,69,82,220,3,1.0,1.0,-2.058220297506162,0.6897810921329685,BDI
Benin2020,Benin,2020,845,114,270,173,335,176,156,440,0,0.0,0.0,-2.440346343520107,0.2110804915060447,BEN
Benin2021,Benin,2021,654,93,254,109,268,115,211,410,0,0.0,0.0,-2.226709470230205,0.1714510234906335,BEN
Benin2022,Benin,2022,523,105,201,57,151,85,111,326,0,0.0,0.0,-1.542588739964898,0.4523475459928856,BEN
Burkina Faso2021,Burkina Faso,2021,332,161,185,68,101,80,83,774,9,1.0,1.0,-1.4486571382193127,0.6201237153156263,BFA
Burkina Faso2020,Burkina Faso,2020,336,119,261,49,74,119,51,794,10,1.0,1.0,-1.57234550080374,0.6648836639566293,BFA
Burkina Faso2022,Burkina Faso,2022,410,145,209,98,121,100,95,683,6,1.0,1.0,-1.0312000271085024,0.9843602109201015,BFA
Botswana2021,Botswana,2021,761,247,389,129,269,148,45,355,1,1.0,0.0,-2.4004589083943277,0.27009679563585753,BWA
Botswana2020,Botswana,2020,800,390,582,170,401,187,61,440,0,0.0,1.0,-2.654495673165862,0.369540570391657,BWA
Botswana2022,Botswana,2022,471,165,234,68,134,65,27,225,0,0.0,0.0,-2.569687477495332,0.2117287799319308,BWA
Central African Republic2020,Central African Republic,2020,319,76,153,50,65,59,27,384,7,1.0,1.0,-3.1276656187333316,0.22924718872290478,CAF
Central African Republic2021,Central African Republic,2021,278,96,180,49,96,60,44,447,1,1.0,1.0,-3.078346229990961,0.09768132338118536,CAF
Central African Republic2022,Central African Republic,2022,149,64,106,37,50,27,26,135,5,1.0,1.0,-3.3593004473893515,-0.01837610149979864,CAF
Côte d'Ivoire2020,Côte d'Ivoire,2020,444,121,197,70,245,84,134,351,0,0.0,0.0,-1.4894650298314096,0.7191993703666647,CIV
Côte d'Ivoire2022,Côte d'Ivoire,2022,331,84,131,53,77,27,20,160,1,1.0,0.0,-1.1249073522264812,0.9608606917561876,CIV
Côte d'Ivoire2021,Côte d'Ivoire,2021,355,130,131,42,179,63,84,251,0,0.0,1.0,-1.3620021126744117,0.6981230000859363,CIV
Cameroon2020,Cameroon,2020,972,334,505,288,258,241,190,869,3,1.0,1.0,-2.4462345027047507,0.20973311500786984,CMR
Cameroon2021,Cameroon,2021,891,276,447,196,223,166,129,754,2,1.0,0.0,-2.2230845996537014,0.18165082041304342,CMR
Cameroon2022,Cameroon,2022,490,141,246,83,119,82,63,385,0,0.0,0.0,-1.5603235515443408,0.45282513889091475,CMR
Democratic Republic of the Congo2020,Democratic Republic of the Congo,2020,368,114,204,48,104,96,72,393,0,0.0,1.0,-2.257261647010533,0.5996770482843163,COD
Democratic Republic of the Congo2022,Democratic Republic of the Congo,2022,344,89,176,57,126,67,63,504,8,1.0,1.0,-1.9867956572168106,0.7117923264002419,COD
Democratic Republic of the Congo2021,Democratic Republic of the Congo,2021,343,110,270,64,88,104,62,379,5,1.0,1.0,-2.1009231842556924,0.6513944074206182,COD
Republic of Congo2020,Republic of Congo,2020,554,174,333,72,159,149,80,534,10,1.0,1.0,-2.7149517700938115,0.5014975685117063,COG
Republic of Congo2021,Republic of Congo,2021,556,198,340,77,177,169,94,614,8,1.0,1.0,-2.5102533464042067,0.4921993931098457,COG
Republic of Congo2022,Republic of Congo,2022,543,156,304,85,177,124,95,617,9,1.0,1.0,-2.337794167951195,0.6554075350807961,COG
Algeria2020,Algeria,2020,736,288,319,161,300,158,300,538,2,1.0,1.0,-3.0432248349136786,0.33817920125179773,DZA
Algeria2021,Algeria,2021,767,224,266,162,276,112,303,546,2,1.0,1.0,-2.7515794639946902,0.29888590623085604,DZA
Algeria2022,Algeria,2022,707,229,225,109,229,80,95,450,1,1.0,1.0,-2.39791650770114,0.5892378670555356,DZA
