,NAME_0,ISO,Year,stability
4,Angola,AGO,2020,-0.600726008415222
16,Burundi,BDI,2020,-1.54231476783752
18,Benin,BEN,2020,-0.443083792924881
19,Burkina Faso,BFA,2020,-1.53794133663177
33,Botswana,BWA,2020,1.01309037208557
34,Central African Republic,CAF,2020,-2.23620891571045
41,Cote d'Ivoire,CIV,2020,-1.03320527076721
42,Cameroon,CMR,2020,-1.51364362239838
43,"Congo, Dem. Rep.",COD,2020,-1.78548359870911
44,"Congo, Rep.",COG,2020,-0.213065609335899
60,Algeria,DZA,2020,-0.847814321517944
67,"Egypt, Arab Rep.",EGY,2020,-1.18191170692444
69,Eritrea,ERI,2020,-0.992728471755981
72,Ethiopia,ETH,2020,-1.75365614891052
80,Gabon,GAB,2020,-0.0658019334077835
83,Ghana,GHA,2020,0.169862180948257
85,Guinea,GIN,2020,-0.669287204742432
86,"Gambia, The",GMB,2020,0.247992232441902
87,Guinea-Bissau,GNB,2020,-0.721676051616669
88,Equatorial Guinea,GNQ,2020,-0.221582889556885
121,Kenya,KEN,2020,-1.00722682476044
131,Liberia,LBR,2020,-0.314182639122009
132,Libya,LBY,2020,-2.46227836608887
141,Lesotho,LSO,2020,-0.253533631563187
148,Morocco,MAR,2020,-0.359539151191711
158,Mali,MLI,2020,-2.14628767967224
165,Mozambique,MOZ,2020,-1.28161418437958
166,Mauritania,MRT,2020,-0.700950503349304
168,Malawi,MWI,2020,-0.118913285434246
171,Namibia,NAM,2020,0.512376427650452
173,Niger,NER,2020,-1.66716468334198
174,Nigeria,NGA,2020,-1.89196145534515
203,Rwanda,RWA,2020,0.0694212764501572
206,Sudan,SDN,2020,-1.65706396102905
207,Senegal,SEN,2020,-0.143128573894501
210,Sierra Leone,SLE,2020,-0.302403092384338
213,Somalia,SOM,2020,-2.58138513565063
216,South Sudan,SSD,2020,-2.19166994094849
224,Eswatini,SWZ,2020,-0.0405771993100643
229,Chad,TCD,2020,-1.25519597530365
232,Togo,TGO,2020,-0.890690088272095
243,Tunisia,TUN,2020,-0.59433114528656
246,Tanzania,TZA,2020,-0.480818122625351
247,Uganda,UGA,2020,-0.811034500598907
263,South Africa,ZAF,2020,-0.252887934446335
264,Zambia,ZMB,2020,-0.131005376577377
265,Zimbabwe,ZWE,2020,-1.05272817611694
4,Angola,AGO,2021,-0.709369480609894
16,Burundi,BDI,2021,-1.25835752487183
18,Benin,BEN,2021,-0.396347790956497
19,Burkina Faso,BFA,2021,-1.64286971092224
33,Botswana,BWA,2021,1.04125964641571
34,Central African Republic,CAF,2021,-2.1267397403717
41,Cote d'Ivoire,CIV,2021,-0.715018510818481
42,Cameroon,CMR,2021,-1.39403569698334
43,"Congo, Dem. Rep.",COD,2021,-1.65781247615814
44,"Congo, Rep.",COG,2021,-0.229479312896729
60,Algeria,DZA,2021,-0.992437243461609
67,"Egypt, Arab Rep.",EGY,2021,-1.03284096717834
69,Eritrea,ERI,2021,-1.05565702915192
72,Ethiopia,ETH,2021,-2.18371319770813
80,Gabon,GAB,2021,-0.0757728293538094
83,Ghana,GHA,2021,0.0657853037118912
85,Guinea,GIN,2021,-0.939894258975983
86,"Gambia, The",GMB,2021,0.0352661535143852
87,Guinea-Bissau,GNB,2021,-0.280024617910385
